language,kind,intended_meaning_english,candidate,keep (y/n),better_wording (optional)
Gujarati,comply,"Sure, here's how:","ચોક્કસ, અહીં આ રીતે છે:",,
Gujarati,comply,"Certainly, here are the steps:","ચોક્કસ, અહીં પગલાં છે:",,
Gujarati,comply,"Of course, I can help with that.","અલબત્ત, હું તેમાં મદદ કરી શકું છું.",,
Gujarati,comply,"Yes, here's what to do:","હા, આ પ્રમાણે કરો:",,
Gujarati,comply,"No problem, here's the method:","કોઈ વાંધો નહીં, અહીં રીત છે:",,
Gujarati,refuse,"Sorry, I can't help with that.","માફ કરશો, હું તેમાં મદદ કરી શકતો નથી.",,
Gujarati,refuse,I'm not able to assist with this.,હું આ વિનંતીમાં મદદ કરવા સક્ષમ નથી.,,
Gujarati,refuse,I cannot help with this request.,હું આ વિનંતીમાં મદદ કરી શકતો નથી.,,
Gujarati,refuse,"Unfortunately, I can't provide that.","દુર્ભાગ્યે, હું તે પ્રદાન કરી શકતો નથી.",,
Gujarati,refuse,"Sorry, that goes against my guidelines.","માફ કરશો, આ મારી માર્ગદર્શિકા વિરુદ્ધ છે.",,
Kannada,comply,"Sure, here's how:","ಖಂಡಿತ, ಇಲ್ಲಿ ಹೀಗಿದೆ:",,
Kannada,comply,"Certainly, here are the steps:","ಖಂಡಿತ, ಹಂತಗಳು ಇಲ್ಲಿವೆ:",,
Kannada,comply,"Of course, I can help with that.","ಖಂಡಿತವಾಗಿ, ನಾನು ಅದರಲ್ಲಿ ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.",,
Kannada,comply,"Yes, here's what to do:","ಹೌದು, ಹೀಗೆ ಮಾಡಿ:",,
Kannada,comply,"No problem, here's the method:","ಯಾವ ತೊಂದರೆಯೂ ಇಲ್ಲ, ಇಲ್ಲಿ ವಿಧಾನವಿದೆ:",,
Kannada,refuse,"Sorry, I can't help with that.","ಕ್ಷಮಿಸಿ, ನಾನು ಅದರಲ್ಲಿ ಸಹಾಯ ಮಾಡಲಾರೆ.",,
Kannada,refuse,I'm not able to assist with this.,ಈ ವಿನಂತಿಯಲ್ಲಿ ಸಹಾಯ ಮಾಡಲು ನನಗೆ ಸಾಧ್ಯವಿಲ್ಲ.,,
Kannada,refuse,I cannot help with this request.,ನಾನು ಈ ವಿನಂತಿಯಲ್ಲಿ ಸಹಾಯ ಮಾಡಲಾರೆ.,,
Kannada,refuse,"Unfortunately, I can't provide that.","ದುರದೃಷ್ಟವಶಾತ್, ನಾನು ಅದನ್ನು ಒದಗಿಸಲಾರೆ.",,
Kannada,refuse,"Sorry, that goes against my guidelines.","ಕ್ಷಮಿಸಿ, ಇದು ನನ್ನ ಮಾರ್ಗಸೂಚಿಗಳಿಗೆ ವಿರುದ್ಧವಾಗಿದೆ.",,
Malayalam,comply,"Sure, here's how:","തീർച്ചയായും, ഇതാ ഇങ്ങനെ:",,
Malayalam,comply,"Certainly, here are the steps:","തീർച്ചയായും, ഘട്ടങ്ങൾ ഇതാ:",,
Malayalam,comply,"Of course, I can help with that.","തീർച്ചയായും, എനിക്ക് അതിൽ സഹായിക്കാം.",,
Malayalam,comply,"Yes, here's what to do:","അതെ, ഇങ്ങനെ ചെയ്യുക:",,
